epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.505,0.85398,2.52963,1.22792,0.93535,0.21467,0.70303,0.52946,0.7812,2.59256,1.24124,0.000410354,0.000410354,0.000410354
2,53.7053,0.95109,1.59474,1.26027,0.56304,0.43017,0.48041,0.31872,1.19442,2.36329,1.64298,0.000772437,0.000772437,0.000772437
3,78.7269,0.96818,1.45949,1.27121,0.73341,0.67121,0.75218,0.5009,1.10076,1.70612,1.45036,0.00107952,0.00107952,0.00107952
4,103.129,0.9617,1.36505,1.2758,0.62763,0.61373,0.6051,0.38743,1.13552,2.65365,1.62139,0.0010025,0.0010025,0.0010025
5,127.692,0.94612,1.27366,1.24951,0.79664,0.68488,0.80561,0.56205,1.05388,1.44101,1.40062,0.00092,0.00092,0.00092
6,153.909,0.89491,1.43717,1.27792,0.73111,0.55251,0.67572,0.48174,1.15522,2.05938,1.54912,0.0008375,0.0008375,0.0008375
7,178.355,0.86894,1.23915,1.24872,0.80816,0.69467,0.79218,0.59186,1.02366,1.28773,1.42843,0.000755,0.000755,0.000755
8,202.398,0.80723,1.12246,1.19933,0.84335,0.71151,0.81588,0.6175,1.03883,1.43264,1.43188,0.0006725,0.0006725,0.0006725
9,227.156,0.75704,0.98044,1.15422,0.89117,0.77081,0.87479,0.66653,0.98621,1.02391,1.45655,0.00059,0.00059,0.00059
10,249.823,0.74007,0.88515,1.14306,0.82781,0.83839,0.87832,0.68388,0.88982,0.79888,1.35588,0.0005075,0.0005075,0.0005075
11,273.441,0.72567,0.85708,1.13413,0.9237,0.83166,0.91469,0.72479,0.88371,0.7015,1.39071,0.000425,0.000425,0.000425
12,296.998,0.70564,0.80161,1.10664,0.89978,0.79696,0.90829,0.70871,0.85387,0.72248,1.38168,0.0003425,0.0003425,0.0003425
13,321.177,0.666,0.74619,1.08896,0.95618,0.86659,0.93712,0.76092,0.8296,0.63735,1.31063,0.00026,0.00026,0.00026
14,344.389,0.61886,0.68845,1.04365,0.92266,0.87662,0.93621,0.76488,0.83231,0.60819,1.3304,0.0001775,0.0001775,0.0001775
15,367.511,0.58581,0.62903,1.02601,0.94223,0.86999,0.94067,0.7716,0.8304,0.59124,1.38275,9.5e-05,9.5e-05,9.5e-05
